escala_km2,a,b,n_overlap,rho,support_jaccard,exact_equal_fraction,median_abs_diff
250,IMC,IOD,437,0.525252,0.28121,0.0,10.52
250,IMC,ICP,37,0.364871,0.02381,0.0,32.62
250,IMC,IGC,2,,0.001287,0.0,29.49
250,IMC,IGQ,84,0.261836,0.054054,0.0,29.53
250,IMC,IGF,1232,0.543539,0.792793,0.040584,30.82
250,IMC,ICS,474,-0.135996,0.305019,0.0,17.935
250,IOD,ICP,36,0.091781,0.082192,0.0,32.89
250,IOD,IGC,2,,0.004577,0.0,28.605
250,IOD,IGQ,80,0.185705,0.181406,0.0,25.385
250,IOD,IGF,382,0.575289,0.296814,0.0,31.2
250,IOD,ICS,184,0.004323,0.253095,0.0,14.99
250,ICP,IGC,0,,0.0,0.0,
250,ICP,IGQ,31,0.480178,0.344444,0.0,9.88
250,ICP,IGF,37,0.124016,0.030032,0.0,38.63
250,ICP,ICS,2,,0.003929,0.0,56.03
250,IGC,IGQ,0,,0.0,0.0,
250,IGC,IGF,1,,0.000811,0.0,8.64
250,IGC,ICS,0,,0.0,0.0,
250,IGQ,IGF,74,0.036508,0.059581,0.0,37.59
250,IGQ,ICS,17,-0.19252,0.031423,0.0,40.04
250,IGF,ICS,462,-0.139592,0.371383,0.0,20.53
500,IMC,IOD,265,0.540223,0.334174,0.0,7.62
500,IMC,ICP,25,0.235341,0.031526,0.0,38.04
500,IMC,IGC,3,0.0,0.003783,0.0,26.39
500,IMC,IGQ,58,0.377067,0.07314,0.0,22.43
500,IMC,IGF,630,0.511789,0.794451,0.033333,30.82
500,IMC,ICS,335,-0.165873,0.422446,0.0,18.43
500,IOD,ICP,24,-0.030435,0.090226,0.0,34.24
500,IOD,IGC,3,0.5,0.011321,0.0,21.05
500,IOD,IGQ,57,0.310021,0.214286,0.0,24.53
500,IOD,IGF,230,0.570583,0.345865,0.0,34.47
500,IOD,ICS,156,0.001671,0.351351,0.0,16.305
500,ICP,IGC,0,,0.0,0.0,
500,ICP,IGQ,21,0.028571,0.33871,0.0,12.38
500,ICP,IGF,25,0.07152,0.039683,0.0,49.4
500,ICP,ICS,4,0.6,0.011236,0.0,42.99
500,IGC,IGQ,0,,0.0,0.0,
500,IGC,IGF,1,,0.001582,0.0,16.05
500,IGC,ICS,1,,0.002967,0.0,2.22
500,IGQ,IGF,50,0.067802,0.07837,0.0,45.35
500,IGQ,ICS,18,0.079463,0.048,0.0,34.655
500,IGF,ICS,325,-0.202615,0.507812,0.0,21.59
1000,IMC,IOD,156,0.500399,0.378641,0.0,6.6
1000,IMC,ICP,18,0.448723,0.043689,0.0,27.98
1000,IMC,IGC,2,,0.004854,0.0,15.625
1000,IMC,IGQ,35,0.382962,0.084951,0.0,24.42
1000,IMC,IGF,336,0.507957,0.815534,0.029762,30.82
1000,IMC,ICS,224,-0.237131,0.543689,0.0,17.93
1000,IOD,ICP,18,0.042312,0.115385,0.0,23.895
1000,IOD,IGC,2,,0.012821,0.0,25.88
1000,IOD,IGQ,35,0.418487,0.224359,0.0,20.77
1000,IOD,IGF,135,0.553553,0.378151,0.0,36.73
1000,IOD,ICS,102,-0.054639,0.366906,0.0,19.035
1000,ICP,IGC,0,,0.0,0.0,
1000,ICP,IGQ,18,0.444788,0.514286,0.0,12.565
1000,ICP,IGF,18,0.397036,0.053571,0.0,54.02
1000,ICP,ICS,6,-0.542857,0.025424,0.0,33.2
1000,IGC,IGQ,0,,0.0,0.0,
1000,IGC,IGF,2,,0.005952,0.0,15.305
1000,IGC,ICS,1,,0.004444,0.0,11.65
1000,IGQ,IGF,29,0.425323,0.084795,0.0,36.38
1000,IGQ,ICS,12,0.118881,0.048583,0.0,33.315
1000,IGF,ICS,218,-0.178696,0.637427,0.0,21.855
