escala_km2,indice,n,nulls,coverage,min,p05,median,mean,p95,max,sd,n_unique,pct_100
250,IMC,1554,0,1.0,10.0,10.0,10.0,18.6295,87.8,100.0,21.7137,103,0.03861
250,IOD,437,1117,0.28121,9.1,9.62,20.65,30.7056,94.31,98.63,25.4442,213,0.0
250,ICP,37,1517,0.02381,0.0,16.472,55.81,55.3573,85.07,93.22,22.6839,36,0.0
250,IGC,2,1552,0.001287,41.36,42.673,54.49,54.49,66.307,67.62,13.13,2,0.0
250,IGQ,84,1470,0.054054,18.85,40.634,61.855,62.7336,91.9525,95.84,16.684,77,0.0
250,IGF,1232,322,0.792793,12.91,35.26,40.82,53.6483,100.0,100.0,22.1756,88,0.135552
250,ICS,474,1080,0.305019,10.95,15.87,27.035,33.8556,76.6905,90.07,18.364,391,0.0
500,IMC,793,0,1.0,10.0,10.0,10.0,18.8102,82.0,100.0,21.7062,68,0.035309
500,IOD,265,528,0.334174,6.15,6.25,16.74,27.3149,95.634,98.78,25.4189,171,0.0
500,ICP,25,768,0.031526,0.0,15.148,50.42,51.4512,85.444,87.59,22.3016,25,0.0
500,IGC,3,790,0.003783,0.0,3.395,33.95,33.4467,63.146,66.39,27.1059,3,0.0
500,IGQ,58,735,0.07314,32.43,33.0305,54.515,58.3538,85.5545,96.91,17.3844,58,0.0
500,IGF,630,163,0.794451,21.82,34.8105,40.82,53.5361,100.0,100.0,21.7514,93,0.131746
500,ICS,335,458,0.422446,8.85,13.134,27.35,32.299,71.204,87.15,17.745,300,0.0
1000,IMC,412,0,1.0,10.0,10.0,10.0,18.916,81.69,100.0,21.4238,52,0.033981
1000,IOD,156,256,0.378641,4.05,4.2025,16.015,26.1464,93.6225,98.39,25.0936,128,0.0
1000,ICP,18,394,0.043689,0.0,13.94,45.615,46.3889,78.676,80.92,23.2278,18,0.0
1000,IGC,2,410,0.004854,29.16,30.3065,40.625,40.625,50.9435,52.09,11.465,2,0.0
1000,IGQ,35,377,0.084951,27.53,28.018,53.42,55.6374,80.562,90.37,18.9622,35,0.0
1000,IGF,336,76,0.815534,15.62,31.135,40.82,52.7794,100.0,100.0,21.3375,96,0.098214
1000,ICS,224,188,0.543689,4.31,10.5915,26.3,31.2474,71.895,89.08,18.2583,215,0.0
